WKT,name,Spots,Medium,Fast,Ultra Fast,X Coordinates,Y Coordinates
POINT (34.9574648 29.5602684),Gas Station,,,,6,34.9574648,29.5602684
POINT (34.955183 29.555155),Gas Station,,,,4,34.955183,29.555155
POINT (34.9631005 29.5709311),Gas Station,,,,4,34.9631005,29.5709311
POINT (34.957848 29.560524),Gas Station,,,,4,34.957848,29.560524
POINT (34.9660327 29.5540665),Public shopping,,,,6,34.9660327,29.5540665
POINT (34.9516683 29.5636916),Residential Parking Lot,25 spots,4,1,,34.9516683,29.5636916
POINT (34.9498218 29.5638142),a,,,,,34.9498218,29.5638142
,,,,,,,
,School Parking Lot,30 spaces,5,1,,,
POINT (34.9484832 29.5561411),b,,,,,34.9484832,29.5561411
,,,,,,,
,School/Office near Park,41 spots,7,1,,,
POINT (34.9516567 29.5468615),c,,,,,34.9516567,29.5468615
,,,,,,,
,Public Parking Lot,35 Spots,6,1,,,
POINT (34.9596611 29.5680229),d,,,,,34.9596611,29.5680229
40 chargers expected,,,,,,,
,Grocery Store,200 spots,36,4,,,
,,,,,,,
no switchboard,,,,,,,
,,,,,,,
POINT (34.9464641 29.5502468),e,,,,,34.9464641,29.5502468
,,,,,,,
,Residential Parking Lot,45 Spots,8,1,,,
POINT (34.9451468 29.5536066),f,,,,,34.9451468,29.5536066
,,,,,,#VALUE!,#VALUE!
,Public Parking Lot,60 spots,11,1,,#VALUE!,#VALUE!
POINT (34.9493769 29.5595858),g,,,,,34.9493769,29.5595858
,,,,,,,
,Public Parking at Shopping Area,70 parking lots,13,1,,,
POINT (34.946289 29.5616049),h,,,,,34.946289,29.5616049
POINT (34.9457535 29.5626757),i,,,,,34.9457535,29.5626757
,Near large building,35 spots,7,,,,
,Residential Parking Lot,38 spots,7,1,,,
POINT (34.9450258 29.5621571),j,,,,,34.9450258,29.5621571
,,,,,,,
,Shopping Center Parking Lot,38 spots,7,1,,,
POINT (34.9446591 29.561897),k,,,,,34.9446591,29.561897
,,,,,,,
,Grocery Store Parking Lot,40 spots,7,1,,,
POINT (34.9419371 29.5624472),l,,,,,34.9419371,29.5624472
,,,,,,,
,Residential parking lot,180 spots,32,4,,,
POINT (34.9503345 29.5642065),m,,,,,34.9503345,29.5642065
,,,,,,,
,Synagogue Parking Lot,35 Spots,6,1,,,
POINT (34.9457424 29.5639631),n,,,,,34.9457424,29.5639631
,,,,,,,
,Store Parking Lot,40 spots,7,1,,,
no switchboard,,,,,,,
,,,,,,,
POINT (34.9526405 29.5660196),o,,,,,34.9526405,29.5660196
,,,,,,,
,Residential Parking Lot,40 spots,7,1,,,
POINT (34.9358679 29.5606105),p,,,,,34.9358679,29.5606105
,,,,,,,
,Residential parking lot,85 spots,15,2,,,
POINT (34.9603252 29.5660512),q,,,,,34.9603252,29.5660512
,,,,,,,
,Shopping Center Parking Lot,375 spots,67,8,,,
no switchboard,,,,,,,
,,,,,,,
POINT (34.932533 29.5561182),r,,,,,34.932533,29.5561182
,,,,,,,
,Some building (figure out),35 spots,6,1,,,
POINT (34.9318785 29.5563702),s,,,,,34.9318785,29.5563702
